12.00	0
11.00	1
13.00	1
1.62	1
2.38	0
11.00	1
5.50	0
2.00	1
34.00	0
4.75	1
51.00	0
1.25	1
2.15	0
8.00	0
13.00	0
10.00	0
1.14	1
2.80	1
2.00	0
9.00	0
1.02	1
9.00	0
1.44	1
3.60	0
6.00	0
5.00	0
29.00	0
7.50	0
1.67	1
4.33	1
2.75	1
11.00	0
3.10	1
5.00	1
3.80	0
17.00	0
17.00	0
1.12	1
2.00	1
3.40	1
1.36	1
3.10	1
34.00	0
2.50	1
2.00	0
9.50	0
6.00	1
5.50	0
1.91	1
1.80	1
2.50	1
9.00	0
5.50	0
2.90	1
2.40	1
4.00	0
2.20	0
3.10	1
4.00	1
4.00	1
3.60	1
5.50	0
10.00	1
3.20	1
2.40	0
3.80	1
2.62	1
2.60	0
2.90	1
3.80	0
3.00	1
2.50	1
3.00	1
3.25	1
3.50	0
4.20	0
9.00	0
3.00	0
2.00	1
4.20	0
4.00	1
2.30	1
2.60	0
2.30	1
5.50	1
4.33	1
3.75	1
5.50	1
2.62	0
3.20	0
3.60	1
8.00	1
8.50	0
2.15	1
1.65	1
2.38	1
6.50	0
3.00	0
3.20	0
3.00	1
3.20	1
2.25	0
4.00	1
6.00	0
4.00	0
3.40	0
4.20	1
5.00	1
3.10	1
3.30	1
2.20	0
2.80	1
3.40	1
3.10	1
3.00	0
4.40	0
4.33	1
3.30	0
3.00	1
2.45	1
2.87	1
4.50	0
4.60	0
8.50	0
1.73	1
3.75	0
4.00	1
2.50	1
3.00	0
4.50	0
4.80	1
4.00	0
2.87	0
5.00	0
2.20	1
3.10	1
8.50	0
6.00	1
1.44	1
3.00	1
2.70	0
3.40	1
4.20	1
3.40	1
4.00	1
2.37	1
3.30	1
2.80	1
3.60	0
2.60	1
8.00	0
5.00	0
1.83	1
2.30	1
3.60	0
4.60	1
3.00	0
4.00	1
2.05	1
5.00	0
4.00	0
11.00	0
5.50	0
3.80	0
4.50	0
1.75	1
2.20	1
2.38	0
2.25	1
1.73	1
1.53	1
4.00	1
2.60	1
5.00	0
